"","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENTREZID","diffexpressed","original_leidenID","degreeCentrality","degree_ratio","betweennessCentrality","betweenness_ratio","closenessCentrality","eigenvectorCentrality","VEGFA","TNF.IL6","TGFB1.2","F2.Thrombin.","GSE13592","intersect_count","Average.NX..all.except.retina.","NX..retina.","tissue_ratio","degree_ratio_percentile","betweenness_ratio_percentile","tissue_ratio_percentile"
"137","IGFBP7","8190.2596905379","1.33156887012309","0.0275701100199142","48.2975537334192","0","0","3490","UP",0,6,0.157894737,83.01144128,34.76697182,0.230360307,0.000301127,1,1,1,1,1,4,52.1344262295082,126.9,2.434092195,77.0977917981073,64.9842271293375,94.9612403100775
"138","IL1RL1","3820.35610433452","1.3202878497801","0.0459782497611342","28.7154873584629","2.44454172322755e-181","1.05271423588407e-179","9173","UP",22,8,0.2,196.2842421,25.85507595,0.269104709,0.0023694,0,0,1,1,1,2,6.84754098360656,1,0.146037826,88.2649842271293,56.0252365930599,14.7932816537468
"139","IL32","3071.99428796052","3.43289640621082","0.0424358653470377","80.8961094144498","0","0","9235","UP",2,4,0.068965517,0,0,0.253246753,0.001204067,0,1,1,1,1,3,31.3180327868852,4,0.127721943,24.5110410094637,10.1892744479495,13.7596899224806
"140","IL4R","2498.90931418321","1.33357312140989","0.0336790261243559","39.5965464228634","0","0","3566","UP",1,10,0.111111111,583.8492854,32.2559749,0.280222741,0.009820181,0,1,1,1,1,3,15.7180327868852,12.3,0.782540676,54.7634069400631,62.3343848580442,62.9198966408269
"141","IL6","235.32202465674","3.59970618692138","0.173494231531099","20.7482759233763","1.27066811768343e-95","2.78944157294988e-94","3569","UP",2,6,0.272727273,42.06907608,17.03574061,0.264675942,0.001829321,0,1,1,1,1,3,7.78524590163934,3.3,0.423878711,94.9211356466877,45.8675078864353,36.046511627907
"142","IL6ST","11608.6331572784","1.1354566678086","0.0291405660525699","38.96481165672","0","0","3572","UP",1,4,0.028169014,2.074475253,0.039230354,0.285661967,0.016390514,1,1,1,1,1,4,27.1901639344262,20,0.735560111,2.6813880126183,20.3785488958991,59.8191214470284
"143","IRF1","1067.43396404379","3.35677488647315","0.0696507046085027","48.1944139020722","0","0","3659","UP",2,10,0.076923077,166.3223914,13.83067453,0.290016732,0.006313947,0,1,0,1,1,2,19.3360655737705,10.3,0.53268334,30.1577287066246,41.4511041009464,44.5090439276486
"144","IRF9","91.2151925546025","1.13455701136158","0.123918577539898","9.15566522700191","5.40239192595366e-20","3.3709954273025e-19","10379","UP",2,12,0.153846154,227.2590328,10.64450743,0.293343362,0.006717248,0,1,1,1,1,3,22.6967213114754,17.8,0.784254243,75.8675078864353,37.5394321766561,63.2428940568475
"145","ISG15","2125.66452187179","3.59634087611467","0.214961942432867","16.7301282981187","7.90677912662929e-63","1.17059021712249e-61","9636","UP",9,78,0.079918033,13220.10404,20.01909961,0.342631232,0.054296266,0,1,1,1,1,3,19.3573770491803,7.6,0.392615176,32.9337539432177,50.2208201892744,33.9793281653747
"146","ITGA5","31817.1914321618","1.15004355350454","0.0168626085938882","68.2008093291906","0","0","3678","UP",1,32,0.137931034,3301.201206,26.31132968,0.33649698,0.052855818,1,1,1,1,1,4,15.8196721311475,4.9,0.309740933,69.589905362776,56.5299684542587,26.8087855297158
"147","ITGA6","15145.2323161757","-1.5711822933798","0.0474389704294512","-33.1200757342822","1.52786825802681e-240","9.5639689711339e-239","3655","DOWN",1,46,0.163120567,6451.956526,43.48814904,0.335339639,0.058770118,0,1,1,1,1,3,16.4737704918033,17.6,1.068365011,78.4227129337539,70.3470031545741,76.87338501
"148","ITGAV","8452.14805131363","2.80259920878287","0.0347189518233466","80.7224602586728","0","0","3685","UP",4,42,0.134615385,5127.667919,33.03345534,0.338762215,0.064903602,0,0,1,0,1,1,17.7491803278689,83.4,4.698808534,68.4858044164038,63.2807570977918,98.12661499
"149","JAG1","2664.7974191641","3.17658756001602","0.0596291693639903","53.2723764878459","0","0","182","UP",1,8,0.102564103,2.074475253,0.957095099,0.301391036,0.030707166,0,1,1,1,1,3,14.1213114754098,21.4,1.515439981,49.7160883280757,21.9558359621451,87.5322997416021
"150","JUNB","1335.16085272854","2.95616845382495","0.0513444721108591","57.5752039565664","0","0","3726","UP",15,34,0.150442478,3966.462455,29.35435095,0.316879951,0.012766068,0,1,0,0,1,1,40.0311475409836,47.3,1.181579917,74.5110410094637,60.1261829652997,79.9741602067184
"151","KCNN3","98.3682527388572","-1.77339545054387","0.133416268127664","-13.2921979862826","2.56918707168127e-40","2.63380737205066e-39","3782","DOWN",1,2,0.1,0,0,0.283481737,0.009584463,0,0,1,1,1,2,6.15573770491803,0.1,0.016245007,47.8864353312303,10.1892744479495,5.29715762273902
"152","KCTD12","9434.49191553119","-3.27284064384584","0.0468193708841341","-69.9035587630017","0","0","115207","DOWN",2,26,0.128712871,1385.920159,33.97654982,0.308178586,0.013785644,0,1,1,1,1,3,10.7081967213115,13.8,1.288732394,65.0473186119874,64.1009463722397,83.26873385
