"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","diffexpressed"
"ENSG00000186517",2.00242537599166,2.06152143019683,0.878486804654072,2.34667318766228,0.0189418609431832,0.0454495822414253,"ARHGAP30","UP"
"ENSG00000143226",2.5209126485447,4.36672924434123,0.988355144895283,4.41817829035927,9.95362989073343e-06,3.78244243598118e-05,"FCGR2A","UP"
"ENSG00000132185",10.5783416023048,6.0194810449273,0.877805647513668,6.85741890813431,7.01158010316943e-12,4.01383676264014e-11,"FCRLA","UP"
"ENSG00000198929",27.9564183380024,-1.2931380145505,0.239066585756028,-5.40911232099234,6.33378987514843e-08,2.84658579623965e-07,"NOS1AP","DOWN"
"ENSG00000117152",246.521272765645,-1.26764889356107,0.0944155701915774,-13.4262695336044,4.24250957707395e-41,6.11176184478653e-40,"RGS4","DOWN"
"ENSG00000143248",10723.485956244,-1.75286604831292,0.0589586944428831,-29.7304081251499,3.10754960861425e-194,2.69089115206576e-192,"RGS5","DOWN"
"ENSG00000185630",281.264562394221,-1.29773776918589,0.0763880056536241,-16.9887635903258,9.94637429816833e-65,2.15708620177094e-63,"PBX1","DOWN"
"ENSG00000143162",555.050043547688,1.55636388371182,0.0574335569979686,27.0985111329055,1.02523293569992e-161,6.9271090692108e-160,"CREG1","UP"
"ENSG00000198771",119.23848565537,4.0786690781184,0.196393855520477,20.7678038974755,8.46406064559117e-96,2.83942599503706e-94,"RCSD1","UP"
"ENSG00000143199",0.840757284364708,2.86883657047715,1.18450737147596,2.42196599156866,0.0154367951201085,0.0377801519236012,"ADCY10","UP"
"ENSG00000143178",32.5505527167853,1.00121981186167,0.208481805560398,4.80243256321765,1.56749617937505e-06,6.36175352935531e-06,"TBX19","UP"
"ENSG00000143153",1297.49752339299,1.7225934645756,0.0411768282608038,41.8340493266049,0,0,"ATP1B1","UP"
"ENSG00000117475",499.093701600937,1.2006362427982,0.0732222020189063,16.3971611026966,2.00385845445214e-60,4.08018241837767e-59,"BLZF1","UP"
"ENSG00000174175",6.68607190023012,-3.22611527275613,0.624554585573015,-5.16546567310244,2.39841043942501e-07,1.0335658066843e-06,"SELP","DOWN"
"ENSG00000188404",27.5809533431588,1.02168985386481,0.213867545784011,4.77720848256534,1.77745462290801e-06,7.19076177855821e-06,"SELL","UP"
"ENSG00000007908",4330.66107683291,6.33359761436711,0.134054316001276,47.2465027855337,0,0,"SELE","UP"
"ENSG00000116132",142.044671014644,2.95045405038693,0.126327101828999,23.3556695884686,1.20695925432378e-120,5.28286946609674e-119,"PRRX1","UP"
"ENSG00000120337",1235.27089362542,1.4511063737966,0.0742213394270815,19.5510669168432,4.03983425330443e-85,1.16605853669988e-83,"TNFSF18","UP"
"ENSG00000183831",7.65010946218363,1.51781892609444,0.402229098363363,3.77351845570179,0.000160961306176184,0.000536373699630725,"ANKRD45","UP"
"ENSG00000116147",14.3083237506992,-1.58150716384007,0.422900872592428,-3.73966398826576,0.000184266404281572,0.00060920936913822,"TNR","DOWN"
"ENSG00000116183",4.54576265857179,2.16676282959894,0.622027400305597,3.48338807668991,0.000495110093861229,0.00154772718771738,"PAPPA2","UP"
"ENSG00000116191",955.345782999418,-1.09434076877532,0.0508834475329669,-21.5068125654478,1.3443016015941e-102,4.83424560957061e-101,"RALGPS2","DOWN"
"ENSG00000116194",5.07604036423035,6.04684041513263,0.92059094906239,6.56843348426493,5.08473365473752e-11,2.76872693399623e-10,"ANGPTL1","UP"
"ENSG00000153029",68.798224835465,1.00098598276941,0.128068143073148,7.81604198163224,5.45102014483401e-15,3.6409960789192e-14,"MR1","UP"
"ENSG00000143333",6.30700315331498,1.94630862542212,0.622068802676677,3.12876745634474,0.00175541173011242,0.00509502731830548,"RGS16","UP"
"ENSG00000261504",1.13787286221268,3.12800825870946,1.34028032955059,2.33384627808297,0.0196037725897476,0.0469324373028931,"LINC01686","UP"
"ENSG00000058085",10809.1715470033,4.92917735781302,0.0750157559214103,65.7085607852441,0,0,"LAMC2","UP"
"ENSG00000232860",18.0907134946392,1.42681740232968,0.265091214122251,5.38236398008908,7.35139241900991e-08,3.28708091483126e-07,"SMG7-AS1","UP"
"ENSG00000135842",701.745943757129,2.60784348510102,0.0543113617146336,48.0165365546039,0,0,"NIBAN1","UP"
"ENSG00000073756",1376.37040473137,3.66580605012231,0.126961458505592,28.8733769544782,2.57852206811505e-183,2.10368810631999e-181,"PTGS2","UP"
"ENSG00000116711",461.03903535167,1.35888520655767,0.0753227567387936,18.0408320857142,9.31310372318521e-73,2.31246486443396e-71,"PLA2G4A","UP"
"ENSG00000116741",200.756743519053,1.39200821938747,0.101278205334992,13.7444005329992,5.50269436935241e-43,8.25438568751012e-42,"RGS2","UP"
"ENSG00000162687",13.1328509395695,1.80586839017988,0.339924672752985,5.3125546185115,1.08099011775229e-07,4.77770940932495e-07,"KCNT2","UP"
"ENSG00000163362",6.1396911358166,3.79123737333037,0.64446413537295,5.88277479729169,4.03444711959112e-09,1.96368199290813e-08,"INAVA","UP"
"ENSG00000116852",292.616791190997,1.00307539800873,0.0694166218064263,14.4500750959315,2.50412690437108e-47,4.0311401294124e-46,"KIF21B","UP"
"ENSG00000170075",9.44273395669321,2.57943453640966,0.390491386396014,6.60561186820583,3.95878832113695e-11,2.16892409024191e-10,"GPR37L1","UP"
"ENSG00000143851",10.4244225768813,2.56059311708245,0.500894422988281,5.11204157915402,3.1869565588404e-07,1.36309450820874e-06,"PTPN7","UP"
"ENSG00000159388",2239.22520967106,-1.04631568415591,0.0427783352583276,-24.459008931448,4.0358572144308e-132,1.97559328868035e-130,"BTG2","DOWN"
