gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,delta.pct
GLTSCR2,8.13E-12,0.34467628,0.805,0.469,1.78E-07,0.336
ANXA4,8.45E-12,0.642531001,0.472,0.189,1.85E-07,0.283
SLC25A37,8.81E-12,0.423744787,0.56,0.248,1.92E-07,0.312
RPS27,9.25E-12,0.329535681,0.95,0.85,2.02E-07,0.1
A2M,9.66E-12,-1.399302771,0.73,0.697,2.11E-07,0.033
KLF2,9.86E-12,0.488907921,0.855,0.48,2.15E-07,0.375
CA8,1.01E-11,0.245195275,0.195,0.008,2.22E-07,0.187
VAMP5,1.04E-11,0.367989339,0.774,0.417,2.27E-07,0.357
CYB5A,1.09E-11,0.302435924,0.591,0.28,2.38E-07,0.311
DLC1,1.11E-11,0.275579557,0.635,0.307,2.43E-07,0.328
KRT222.1,1.21E-11,0.239575288,0.17,0,2.65E-07,0.17
CABLES1,1.21E-11,0.165330344,0.17,0,2.65E-07,0.17
SOX7,1.22E-11,0.416826522,0.541,0.236,2.67E-07,0.305
RPL18,1.25E-11,0.299792727,0.95,0.803,2.73E-07,0.147
FGF2,1.27E-11,0.220300742,0.252,0.031,2.78E-07,0.221
GLUD1,1.41E-11,0.402163263,0.629,0.327,3.09E-07,0.302
SIX3-AS1,1.42E-11,0.178809172,0.182,0.004,3.10E-07,0.178
NPM1,1.43E-11,0.436725096,0.855,0.591,3.14E-07,0.264
NOV,1.52E-11,-0.807447045,0.019,0.28,3.33E-07,-0.261
BPGM,1.53E-11,0.424359011,0.34,0.083,3.34E-07,0.257
NASP,1.54E-11,0.548826198,0.654,0.354,3.36E-07,0.3
SPHK1,1.63E-11,0.44526243,0.377,0.114,3.56E-07,0.263
MARCKSL1,1.81E-11,0.373275503,0.755,0.449,3.95E-07,0.306
TFPI,1.94E-11,0.401433983,0.736,0.382,4.25E-07,0.354
RNASE1,2.01E-11,0.583094744,0.805,0.484,4.40E-07,0.321
HMGN2,2.07E-11,0.215559396,0.686,0.346,4.52E-07,0.34
APP,2.20E-11,0.391765543,0.843,0.543,4.81E-07,0.3
OST4,2.20E-11,0.317650797,0.818,0.484,4.81E-07,0.334
MTHFD2,2.33E-11,0.321607738,0.258,0.039,5.10E-07,0.219
MALL,2.63E-11,0.596444426,0.522,0.236,5.74E-07,0.286
SEMA4A,2.77E-11,0.338091672,0.465,0.173,6.06E-07,0.292
ZFP36L2,2.82E-11,0.665806104,0.566,0.268,6.17E-07,0.298
HNRNPA0,2.98E-11,0.288762957,0.748,0.398,6.52E-07,0.35
TRIOBP,2.99E-11,0.258114354,0.516,0.213,6.54E-07,0.303
PTGS1,3.05E-11,0.324455996,0.164,0,6.68E-07,0.164
PLCXD3,3.05E-11,0.20879811,0.164,0,6.68E-07,0.164
TSPO,3.15E-11,0.31038907,0.723,0.445,6.89E-07,0.278
RPS8,3.26E-11,0.342644482,0.969,0.819,7.13E-07,0.15
U2AF1,3.29E-11,0.315915959,0.786,0.469,7.19E-07,0.317
SNHG7,3.49E-11,0.38150779,0.717,0.39,7.62E-07,0.327
ENDOD1,4.05E-11,0.358355551,0.39,0.126,8.86E-07,0.264
ENY2,4.50E-11,0.285365652,0.767,0.453,9.83E-07,0.314
LRP5,4.72E-11,0.298027428,0.289,0.059,1.03E-06,0.23
PLSCR4,4.82E-11,0.342933009,0.503,0.209,1.05E-06,0.294
SH3BGRL3,4.93E-11,0.602380429,0.836,0.543,1.08E-06,0.293
INMT,5.11E-11,0.44554178,0.233,0.028,1.12E-06,0.205
RHOU,5.12E-11,0.224096515,0.182,0.008,1.12E-06,0.174
RPS19,5.38E-11,0.29421529,0.969,0.823,1.18E-06,0.146
REXO2,5.48E-11,0.233155084,0.56,0.264,1.20E-06,0.296
CYBA,5.62E-11,-0.916185745,0.17,0.445,1.23E-06,-0.275
MT-ND1,5.80E-11,-0.602133725,0.925,0.925,1.27E-06,0
TLR4,5.82E-11,0.320023098,0.314,0.075,1.27E-06,0.239
CCDC59,5.89E-11,0.384241443,0.522,0.232,1.29E-06,0.29
LMNA,6.20E-11,0.517341299,0.906,0.634,1.36E-06,0.272
SULF1,6.37E-11,0.240277296,0.17,0.004,1.39E-06,0.166
CA5A,6.59E-11,-0.372511562,0,0.232,1.44E-06,-0.232
GAR1,6.71E-11,0.297557945,0.384,0.126,1.47E-06,0.258
RAB8B,6.82E-11,0.382116684,0.434,0.157,1.49E-06,0.277
AKAP13,6.95E-11,0.4172202,0.629,0.327,1.52E-06,0.302
BMPR2,7.16E-11,0.36758581,0.635,0.327,1.57E-06,0.308
ST13,7.51E-11,0.299992563,0.736,0.413,1.64E-06,0.323
ANKRD37,7.55E-11,-1.321559623,0.239,0.488,1.65E-06,-0.249
CTSL,7.55E-11,0.43092582,0.528,0.26,1.65E-06,0.268
IRS2,7.69E-11,0.418433065,0.384,0.13,1.68E-06,0.254
HIST1H4C,7.89E-11,0.277061799,0.503,0.224,1.73E-06,0.279
SYT15,8.15E-11,0.262341191,0.245,0.035,1.78E-06,0.21
ACKR3,8.48E-11,0.621789729,0.44,0.165,1.85E-06,0.275
NCOA7,8.49E-11,0.377900859,0.585,0.291,1.86E-06,0.294
